System,Parameters,Component_i,Component_j,Tmin,Tmax,step
S1,"(-13.32,981.09,2.148,-0.0004,7.818,-2024.6,1.985,-0.0379)",Formic Acid,Benzene,10,80,1
S2,"(-5.03,123.37,1.036,-0.0002,6.311,1571.3,-0.343,-0.0178)",Nitormethane,Glycerol,10,140,1
S3,"(51.37,1309.4,-9.527,-0.0004,19.42,-2273,-0.002,-0.0377)",Nitromethane,1-Butanol,11,20,0.1
S4,"(-113.63,6985,17.37,-0.0098,-5.176,3786,-1.056,-0.0022)",Nitromethane,1-Pentadecanol,50,80,0.5
S5,"(-87.29,3406.2,14.66,-0.0254,75.53,-6010.4,-7.3,-0.0322)",cyclohexanol,water,15,130,1
S6,"(7.026,-1696.7,0.751,-0.0218,3.38,-2022.8,2.57,-0.0199)",furfural,water,10,190,1
S7,"(-0.928,6176,-8.02,0.0925,14.64,-8233.7,10.03,-0.144)",phenol,octane,15,55,0.5
S8,"(-20.23,-2319.6,7.926,-0.0637,15.95,-769.65,-1.327,0.0011)",phenol,water,0,80,1
S9,"(62.67,-2153.3,-10.11,0.0034,27.21,-5621.7,2.422,-0.0559)",1-Butanol,water,0,130,1
S10,"(-4.529,775.49,0.316,-0.0025,43.73,-6847,0.294,-0.0582)",2-Methyl-1-Propanol,water,10,150,1
S11,"(-96.89,5099.7,13.89,-0.0055,190,-14766,-18.31,-0.0935)",3-nitrophenol,water,45,105,1
S12,"(-23.99,-2068.6,7.692,-0.0438,32.51,-502.58,-4.319,0.001)",2-nitroaniline,water,120,220,1
S13,"(-39.51,-346.4,9.084,-0.0371,41.69,-1417.7,-5.631,0.0005)",aniline,water,10,180,1
S14,"(-48.14,-3714.5,15.43,-0.0957,123.99,-15972,-6.184,-0.1006)",benzoic acid,water,80,120,1
S15,"(-97.8,2811.8,17.16,-0.0359,67.37,-9243.3,-1.363,-0.0734)",4-methylphenol,water,20,150,1
S16,"(30.56,-9352.8,3.035,-0.0662,0.141,2516,-0.001,0.0004)",3-ethyl-4-methylpyridine,water,0,120,1
S17,"(370.9,-19224,-53.95,-0.0054,-242,12155,35.49,0.0168)",1-ethyl-3-isopropyl glycerol ether,water,30,80,1
S18,"(-244.8,5664.3,43.67,-0.0781,-184.7,4384.9,33.32,-0.0538)","2,2 dimethyl 1,3 oxypropane",water,-40,30,1
S19,"(0.022,-1873,2.26,-0.0215,-0.018,1138,-1.459,0.0268)",2-methyltetrahydrofuran,water,-50,30,1
S20,"(-95.63,-6.3028,20.49,-0.0685,-102.7,-6.5408,21.04,-0.0511)",propanal,water,10,45,0.5
S21,"(-122.1,-6.3316,25.04,-0.0722,-147.3,-6.567,30.01,-0.0712)",tetrahydrofuran,water,65,145,1
S22,"(-35.91,-6939.6,16.78,-0.1242,-175.3,9693.4,24.11,0.0289)",2-buten-2-one,water,20,90,1
S23,"(-68.67,70.219,14.95,-0.0499,-136.6,-11.676,28.36,-0.0807)",glycerol,3-aminotoluene,0,130,1
S24,"(-0.779,-136.08,1.144,-0.008,-60.82,4.3864,11.95,-0.025)",glycerol,benzyl ethyl amine,0,350,1
S25,"(-170.8,-7.0859,33.82,-0.0848,22.2,-2.4209,-2.405,-0.0038)","2,6-dimethylpyridine",water,30,170,1
S26,"(-113.6,-141.31,21.74,-0.0466,-148.5,25.449,31.87,-0.0884)",1-azacycloheptane,water,60,240,1
S27,"(-334.7,-6.3761,65.81,-0.154,207.3,-6.5299,-39.08,0.0849)",nicotine,water,50,250,1
S28,"(-129.4,-6.4518,25.79,-0.0706,-318.7,-6.6442,67,-0.1884)",2-butoxyethanol,water,40,140,1
S29,"(-79.45,-13.548,16.89,-0.0513,-330.6,-15.043,68.92,-0.206)",glycerol,2-methoxyphenol,30,90,1
S30,"(-139.2,-4.6567,28.11,-0.0778,5.714,-2.4595,-0.222,0.0042)",1-propoxy-2-propanol,water,20,190,1
